Name,NIII 57,NIII 57 err,OI 63,OI 63 err,OIII 88,OIII err,NII 122,NII 122 err,OI 145,OI 145 err,CII 158,CII 158 err,S63,S63err,S122,S122err,FIR,L_{CO},L_{CO}(log),NIII57/FIR,OI63/FIR,OIII88/FIR,NII122/FIR,OI145/FIR,CII158/FIR,Optical_class,Redshift,DL[Mpc],Brightness (log),Luminosity(log)
NGC3783,5.18E-17,1.70E-17,6.33E-16,4.00E-17,1.53E-16,1.30E-17,8.95E-17,8.70E-18,3.03E-17,4.50E-18,6.88E-16,9.90E-18,2.34,0.1404,5.88,0.3528,134.126244,-9,-9.00E+00,3.86E-03,4.72E-02,1.14E-02,6.67E-03,2.26E-03,5.13E-02,Sy2,0.00292,12.36,8.84,10.24
NGC4051,<2.55E-17,NaN,3.43E-16,2.50E-17,7.50E-17,1.50E-17,4.96E-17,5.30E-18,2.22E-17,3.60E-18,6.11E-16,9.20E-18,2.48,0.1488,7.64,0.4584,153.388368,5.27E+08,8.72E+00,NaN,2.24E-02,4.89E-03,3.23E-03,1.45E-03,3.98E-02,Sy2,0.00618,26.24,10.71,10.21
NGC4151,2.19E-16,3.40E-17,2.92E-15,6.50E-17,4.64E-16,3.20E-17,8.63E-17,9.60E-18,1.79E-16,5.80E-18,7.26E-16,1.30E-17,6.84,0.4104,5.8,0.348,301.187544,2.95E+08,8.47E+00,7.27E-03,9.69E-02,1.54E-02,2.87E-03,5.94E-03,2.41E-02,Sy1,0.01631,69.8,11.02,11.35
NGC4593,1.84E-17,5.90E-18,1.97E-16,2.20E-17,5.51E-17,8.10E-18,3.77E-17,8.60E-18,2.32E-17,4.00E-18,2.19E-16,1.10E-17,3.44,0.2064,4.66,0.2796,165.383904,4.89E+08,8.69E+00,1.11E-03,1.19E-02,3.33E-03,2.28E-03,1.40E-03,1.32E-02,HII,0.00568,24.1,0,10.74
NGC5033,2.11E-16,4.00E-17,1.67E-15,4.40E-17,4.95E-16,3.40E-17,1.11E-15,1.60E-17,1.13E-16,6.60E-18,5.56E-15,6.70E-17,14.63,0.8778,48.19,2.8914,929.766558,1.74E+09,9.24E+00,2.27E-03,1.80E-02,5.32E-03,1.19E-02,1.22E-03,5.98E-02,HII,0.00568,24.1,0,10.74
NGC5506,3.05E-16,4.90E-17,1.48E-15,3.90E-17,9.31E-16,2.60E-17,1.12E-16,9.20E-18,1.40E-16,6.20E-18,1.33E-15,1.50E-17,10.79,0.6474,6.45,0.387,453.577614,1.98E+08,8.30E+00,6.72E-03,3.26E-02,2.05E-02,2.47E-03,3.09E-03,2.93E-02,HII,0.00568,24.1,0,10.74
NGC7469,4.36E-16,1.30E-16,2.56E-15,7.20E-17,4.35E-16,1.50E-17,4.16E-16,1.10E-17,1.67E-16,7.90E-18,2.88E-15,1.70E-17,30.08,1.8048,38.19,2.2914,1425.735528,2.40E+09,9.38E+00,3.06E-03,1.80E-02,3.05E-03,2.92E-03,1.17E-03,2.02E-02,Sy1,0.01605,68.68,10.22,10.35
IC4329A,1.08E-16,1.20E-17,6.16E-16,5.00E-17,3.75E-16,1.80E-17,3.47E-17,5.00E-18,3.73E-17,5.00E-18,1.52E-16,1.00E-17,2.55,0.153,1.32,0.0792,105.56343,-9,-9.00E+00,1.02E-02,5.84E-02,3.55E-02,3.29E-03,3.53E-03,1.44E-02,Sy2,0.00182,7.7,9.19,9.91
CenA,1.13E-15,9.30E-17,1.09E-14,1.30E-16,3.91E-15,4.40E-17,2.00E-15,2.50E-17,1.06E-15,1.00E-17,2.50E-14,1.00E-16,89.54,5.3724,183,10.98,4797.191364,1.23E+08,8.09E+00,2.36E-03,2.27E-02,8.15E-03,4.17E-03,2.21E-03,5.21E-02,Sy2,0.00145,6.13,11.49,9.92
Circinus,3.17E-15,1.10E-16,2.27E-14,2.10E-16,7.17E-15,6.60E-17,3.16E-15,1.80E-17,1.63E-15,1.60E-17,2.81E-14,1.10E-16,346.68,20.8008,351.23,21.0738,15722.40029,3.63E+08,8.56E+00,2.02E-03,1.44E-02,4.56E-03,2.01E-03,1.04E-03,1.79E-02,Sy2,0.00379,16.06,11.36,11.13
NGC1068,6.01E-15,9.90E-17,1.26E-14,1.30E-16,1.15E-14,8.60E-17,5.24E-15,3.70E-17,9.70E-16,9.40E-18,2.73E-14,1.00E-15,211.05,12.663,328.18,19.6908,10483.99233,4.17E+09,9.62E+00,5.73E-03,1.20E-02,1.10E-02,5.00E-03,9.25E-04,2.60E-02,Sy2,0.01756,75.23,10.85,10.89
NGC1275,3.00E-17,,1.72E-15,7.20E-17,5.48E-17,1.20E-17,1.06E-16,8.40E-18,1.39E-16,9.00E-18,1.49E-15,2.00E-17,7.1,0.426,6.64,0.3984,317.58006,1.33E+09,9.12E+00,9.45E-04,5.42E-02,1.73E-03,3.34E-03,4.38E-03,4.69E-02,Sy2,0.00289,12.23,10.32,9.53
NGC1386,1.25E-16,2.60E-17,3.71E-16,2.20E-17,2.61E-16,2.20E-17,1.19E-16,1.80E-17,4.36E-17,8.00E-18,8.01E-16,1.50E-17,5.16,0.3096,9.38,0.5628,267.148056,7.80E+07,7.89E+00,4.68E-03,1.39E-02,9.77E-03,4.45E-03,1.63E-03,3.00E-02,Sy2,0.0135,57.65,9.78,10.41
NGC7314,4.81E-17,1.00E-17,2.54E-16,2.20E-17,2.14E-16,1.80E-17,6.39E-17,8.80E-18,2.90E-17,3.00E-18,1.04E-15,1.10E-17,1.32,0.0792,5.33,0.3198,91.725312,2.37E+08,8.38E+00,5.24E-03,2.77E-02,2.33E-02,6.97E-03,3.16E-03,1.13E-01,Sy2,0.00372,15.76,10.87,10.64
NGC7582,1.21E-15,9.90E-17,2.88E-15,1.20E-16,1.89E-15,6.30E-17,6.32E-16,1.70E-17,2.84E-16,6.40E-18,5.18E-15,3.90E-17,52.92,3.1752,56.55,3.393,2423.417472,1.74E+09,9.24E+00,4.99E-03,1.19E-02,7.80E-03,2.61E-03,1.17E-03,2.14E-02,Sy2,0.02002,85.93,10.51,10.7
Mrk3,1.72E-16,2.00E-17,1.36E-15,3.60E-17,6.79E-16,3.70E-17,1.17E-16,1.60E-17,9.18E-17,8.00E-18,4.66E-16,1.40E-17,3.09,0.1854,2.43,0.1458,134.545194,2.76E+08,8.44E+00,1.28E-02,1.01E-01,5.05E-02,8.70E-03,6.82E-03,3.46E-02,Sy2,0.00476,20.18,0,9.78
IRASF18325-5926 ,9.41E-17,1.50E-17,4.49E-16,1.10E-16,1.36E-16,2.10E-17,5.21E-17,1.20E-17,2.58E-17,4.30E-18,4.42E-16,2.30E-17,3.17,0.1902,2.28,0.1368,136.329522,-9,-9.00E+00,6.90E-03,3.29E-02,9.98E-03,3.82E-03,1.89E-03,3.24E-02,Sy2,0.00525,22.28,11.17,10.62
NGC3079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.69E-15,7.50E-17,40.8,2.448,80.4,4.824,2162.06928,1.82E+09,9.26E+00,NaN,NaN,NaN,NaN,NaN,4.02E-02,Sy2,0.00729,30.98,12.5,11.09
NGC6240,1.00E-16,1.50E-17,6.19E-15,1.40E-16,4.39E-16,3.40E-17,2.78E-16,2.50E-17,4.81E-16,3.00E-17,4.21E-15,5.60E-17,22.87,1.3722,23.48,1.4088,1039.657542,9.17E+09,9.96E+00,9.62E-04,5.95E-02,4.22E-03,2.67E-03,4.63E-03,4.05E-02,HII,0.0103,43.87,11.92,11.74
NGC4418,<8.70E-17,NaN,2.12E-16,2.30E-01,<8.82E-17,NaN,<2.74E-17,NaN,1.06E-17,0.00E+00,1.83E-16,2.00E-18,43.6,2.616,24.38,1.4628,1819.37616,4.69E+08,8.67E+00,NaN,1.17E-03,NaN,NaN,5.83E-05,1.01E-03,Lin,0.01813,77.7,12.53,12.13
