;Name,NIII57,NIII57err,OI63,OI63err,OIII88,OIIIerr,NII122,NII122err,OI145,OI145err,CIII158,CII158err,S63,S63err,S122,S122err
Mrk3,1.72E-16,2.00E-17,1.36E-15,3.60E-17,6.79E-16,3.70E-17,1.17E-16,1.60E-17,9.18E-17,8.00E-18,4.66E-16,1.40E-17,3.09,0.1854,2.43,0.1458
NGC3079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.69E-15,7.50E-17,40.8,2.448,80.4,4.824
IRASF18325-5926 ,9.41E-17,1.50E-17,4.49E-16,1.10E-16,1.36E-16,2.10E-17,5.21E-17,1.20E-17,2.58E-17,4.30E-18,4.42E-16,2.30E-17,3.17,0.1902,2.28,0.1368
NGC4418,<8.70E-17,NaN,2.12E-16,2.30E-01,<8.82E-17,NaN,<2.74E-17,NaN,1.06E-17,0.00E+00,1.83E-16,2.00E-18,43.6,2.616,24.38,1.4628
Arp299,1.76E-15,7.10E-17,6.70E-15,1.10E-16,6.79E-15,8.70E-17,6.18E-16,1.80E-17,7.98E-16,9.70E-18,1.24E-14,7.20E-17,91.84,5.5104,113.83,6.8298
Arp220,<2.36E-16,NaN,1.00E-15,1.50E-16,<3.17E-16,NaN,2.20E-16,1.80E-17,1.69E-16,1.30E-17,1.22E-15,3.20E-17,124.62,7.4772,114.04,6.8424
Mrk231,2.88E-17,3.50E-18,3.98E-16,4.00E-17,5.50E-17,5.00E-18,4.35E-17,4.00E-18,3.52E-17,4.30E-18,4.55E-16,8.00E-17,34.96,2.0976,20.06,1.2036
Mrk273,1.50E-16,2.00E-17,8.06E-16,5.50E-17,4.33E-16,3.30E-17,1.13E-16,1.20E-17,8.31E-17,1.00E-17,7.68E-16,2.70E-17,21.28,1.2768,14.2,0.852
NGC6240,1.00E-16,1.50E-17,6.19E-15,1.40E-16,4.39E-16,3.40E-17,2.78E-16,2.50E-17,4.81E-16,3.00E-17,4.21E-15,5.60E-17,22.87,1.3722,23.48,1.4088
UGC5101,9.64E-17,1.50E-17,3.19E-16,6.20E-17,1.38E-16,3.60E-17,1.19E-16,1.20E-17,3.92E-17,1.20E-17,6.88E-16,2.70E-17,13.76,0.8256,17.91,1.0746
